Day fraction since midnight on 	pH probe (pH)	pH probe (pH)
0.6190215104	7.2982101440	7.1219544411
0.6190330774	7.2894349098	7.1129827499
0.6190446674	7.2820692062	7.1054520607
0.6190562344	7.2775754929	7.1008582115
0.6190678014	7.2713890076	7.0945334435
0.6190793959	7.2709255219	7.0940594673
0.6190909647	7.2705392838	7.0936646461
0.6191025365	7.2614965439	7.0844192505
0.6191141056	7.2635693550	7.0865383148
0.6191256745	7.2641954422	7.0871787071
0.6191372646	7.2576708794	7.0805082321
0.6191488315	7.2477450371	7.0703601837
0.6191604005	7.2394042015	7.0618329048
0.6191719714	7.2396130562	7.0620465279
0.6191835615	7.2406821251	7.0631394386
0.6191951285	7.2373518944	7.0597348213
0.6192066977	7.2334218025	7.0557165146
0.6192182647	7.2343955040	7.0567116737
0.6192298548	7.2331748009	7.0554637909
0.6192414234	7.2320499420	7.0543136597
0.6192529904	7.2328772545	7.0551595688
0.6192645594	7.2318959236	7.0541567802
0.6192761495	7.2306642532	7.0528974533
0.6192877257	7.2288661003	7.0510587692
0.6192992999	7.2230563164	7.0451192856
0.6193108684	7.2253279686	7.0474414825
0.6193224353	7.2252721786	7.0473847389
0.6193340254	7.2216501236	7.0436816216
0.6193455968	7.2137703896	7.0356254578
0.6193571638	7.2086205482	7.0303602219
0.6193687327	7.2038426399	7.0254755020
0.6193803025	7.2078242302	7.0295462608
0.6193918926	7.2037549019	7.0253858566
0.6194034612	7.1990818977	7.0206079483
0.6194150297	7.1921563148	7.0135278702
0.6194265966	7.1931371689	7.0145306587
0.6194381867	7.1928620338	7.0142493248
0.6194497579	7.1912131310	7.0125637054
0.6194613249	7.1894607544	7.0107717514
0.6194729150	7.1892242432	7.0105299950
0.6194844844	7.1882338524	7.0095176697
0.6194960514	7.1871695518	7.0084290504
0.6195076233	7.1867861748	7.0080375671
0.6195191903	7.1870169640	7.0082731247
0.6195307804	7.1877641678	7.0090374947
0.6195423474	7.1855893135	7.0068140030
0.6195539143	7.1825885773	7.0037460327
0.6195654864	7.1834559441	7.0046324730
0.6195770786	7.1784520149	6.9995307922
0.6195886493	7.1668472290	6.9880056381
0.6196002162	7.1753010750	6.9964013100
0.6196117832	7.1669592857	6.9881172180
0.6196233733	7.1682600975	6.9894084930
0.6196349403	7.1666312218	6.9877910614
0.6196465072	7.1647791862	6.9859519005
0.6196580973	7.1551523209	6.9763913155
0.6196696729	7.1548943520	6.9761347771
0.6196812452	7.1501684189	6.9714412689
0.6196928145	7.1419048309	6.9632344246
0.6197043815	7.1432437897	6.9645643234
0.6197159715	7.1416659355	6.9629974365
0.6197275424	7.1456713676	6.9669752121
0.6197391094	7.1400380135	6.9613804817
0.6197506764	7.1353597641	6.9567346573
0.6197622681	7.1298260689	6.9512386322
0.6197738392	7.1260275841	6.9474663734
0.6197854164	7.1232857704	6.9447431564
0.6197969858	7.1258773804	6.9473171234
0.6198085572	7.1247138977	6.9461612701
0.6198201290	7.1245770454	6.9460258484
0.6198316980	7.1199636459	6.9414439201
0.6198432650	7.1193866730	6.9408712387
0.6198548551	7.1170792580	6.9385790825
0.6198664236	7.1136593819	6.9351830482
0.6198779932	7.1178374290	6.9393324852
0.6198895618	7.1072669029	6.9288349152
0.6199011539	7.1055908203	6.9271697998
0.6199127229	7.1046490669	6.9262347221
